"Rafaela","w",1
"Rahel","w",2
"Rajana","w",1
"Ralph","m",1
"Ramon","m",1
"Raphael","m",5
"Raphaël","m",2
"Ray","m",1
"Raya","w",4
"Rayan","m",4
"Rea","w",1
"Rebeca","w",1
"Rebecca","w",1
"Rebekka","w",1
"Rejan","m",1
"Remi","m",2
"Rémi","m",2
"Reza","m",2
"Ria","w",3
"Rian","m",1
"Riccardo","m",1
"Rina","w",1
"Rio","m",1
"Rita","w",1
"Rivka","w",3
"Roberta","w",1
"Robin","w",2
"Robin","m",5
"Robyn","w",1
"Rodrigo","m",1
"Roman","m",3
"Romeo","m",7
"Romina","w",1
"Romy","w",2
"Ronja","w",6
"Rosa","w",12
"Rouven","m",1
"Roxane","w",1
"Roy","m",1
"Ruben","m",4
"Ruby","w",4
"Rui","m",1
"Ruth","w",2
"Ruven","m",1
"Ryan","m",4
"Salma","w",2
"Salomon","m",1
"Sam","m",1
"Samara","w",1
"Sami","m",4
"Samia","w",1
"Samir","m",1
"Samira","w",1
"Samuel","m",10
"Samuele","m",1
"Samy","m",1
"Sandro","m",1
"Santiago","m",5
"Sara","w",9
"Sarah","w",3
"Sarina","w",1
"Saša","m",1
"Sasha","w",1
"Sean","m",3
"Sebastian","m",3
"Sebastiano","m",1
"Selena","w",1
"Selihom","w",1
"Selma","w",5
"Sena","w",1
"Serafin","m",2
"Sharon","w",1
"Siena","w",2
"Sienna","w",4
"Siham","w",1
"Simeon","m",1
"Simon","m",4
"Simone","w",1
"Simone","m",1
"Sina","w",1
"Sinan","m",1
"Sira","w",1
"Siro","m",3
"Smilla","w",2
"Sofia","w",20
"Sofie","w",2
"Sofija","w",2
"Sol","w",1
"Sol","m",1
"Solène","w",1
"Soley","w",2
"Sonam","w",1
"Sonia","w",1
"Sophia","w",18
"Sophie","w",15
"Stefan","m",1
"Stefanos","m",1
"Stella","w",6
"Stevan","m",1
"Sven","m",3
"Svenja","w",1
"Talia","w",3
"Tara","w",5
"Taro","m",1
"Tashi","m",1
"Tea","w",2
"Tenzin","w",1
"Teo","m",3
"Teodor","m",3
"Teodora","w",1
"Teresa","w",1
"Tessa","w",3
"Thalia","w",2
"Thanh","w",1
"Thea","w",3
"Theo","m",19
"Théo","m",3
"Theodor","m",7
"Theodore","m",3
"Théodore","m",1
"Thiago","m",6
"Thierry","m",2
"Thilo","m",1
"Thomas","m",5
"Tiago","m",4
"Tian","m",4
"Tilda","w",4
"Till","m",2
"Tilla","w",1
"Tilo","m",1
"Tim","m",6
"Timea","w",2
"Timo","m",6
"Timon","m",3
"Timothée","m",2
"Timothy","m",1
"Tino","m",1
"Titus","m",1
"Tobias","m",1
"Tom","m",3
"Toni","w",2
"Toni","m",1
"Tony","m",2
"Tristan","m",3
"Tsering","w",1
"Tuana","w",1
"Uma","w",1
"Una","w",1
"Uroš","m",2
"Ursina","w",1
"Valentin","m",11
"Valentina","w",3
"Valentino","m",1
"Valeria","w",3
"Valérie","w",1
"Valerio","m",1
"Vanessa","w",1
"Venera","w",1
"Vera","w",5
"Veronica","w",1
"Veronika","w",1
"Vicente","m",1
"Victor","m",6
"Victoria","w",7
"Vida","w",1
"Viktor","m",4
"Viktoria","w",2
"Vilma","w",1
"Vince","m",1
"Vincent","m",15
"Vinzent","m",1
"Viola","w",2
"Vita","w",1
"Vito","m",3
"Vittoria","w",2
"Vittorio","m",1
"Vitus","m",1
"Viviana","w",1
"Vivienne","w",8
"Vladimir","m",2
"Wanda","w",2
"Wanja","m",1
"William","m",6
"Wilma","w",1
"Wim","m",2
"Witold","m",1
"Xenia","w",2
"Yael","w",2
"Yaël","w",2
"Yan","w",1
"Yanis","m",2
"Yann","m",1
"Yannick","m",2
"Yannik","m",3
"Yannis","m",2
"Yara","w",16
"Yari","m",2
"Yaro","m",2
"Yasin","m",3
"Yasmin","w",2
"Ylva","w",2
"Yonatan","m",1
"Yosef","m",1
"Yosief","m",1
"Younes","m",1
"Youri","m",1
"Yousef","m",1
"Youssef","m",1
"Yuma","m",1
